Date : 2025-04-02 16:42:23
Directory : c:\Users\le.chen\Documents\tmp\final
Total : 161 files,  28084 codes, 895 comments, 1665 blanks, all 30644 lines

Languages
+----------------------+------------+------------+------------+------------+------------+
| language             | files      | code       | comment    | blank      | total      |
| c:\Users\le.chen\Documents\tmp\final\app\crud\check\check_histories_crud.py                        | Python               |         15 |          0 |          6 |         21 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\crud_allergy.py                                      | Python               |         13 |          2 |          4 |         19 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\crud_department.py                                   | Python               |         15 |          2 |          5 |         22 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\crud_patient.py                                      | Python               |         15 |          2 |          5 |         22 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\health_personnel.py                                  | Python               |         22 |          2 |          8 |         32 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\medical_history.py                                   | Python               |         22 |          9 |          6 |         37 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\medical_record.py                                    | Python               |         17 |          1 |          6 |         24 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\medicine\medicine_crud.py                            | Python               |         17 |          0 |          8 |         25 |
| c:\Users\le.chen\Documents\tmp\final\app\crud\medicine\medicine_histories_crud.py                  | Python               |         15 |          0 |          6 |         21 |
| c:\Users\le.chen\Documents\tmp\final\app\db\__init__.py                                            | Python               |          0 |          0 |          1 |          1 |
| c:\Users\le.chen\Documents\tmp\final\app\db\base.py                                                | Python               |          2 |          3 |          1 |          6 |
| c:\Users\le.chen\Documents\tmp\final\app\db\session.py                                             | Python               |          8 |         28 |          9 |         45 |
| c:\Users\le.chen\Documents\tmp\final\app\main.py                                                   | Python               |         64 |         17 |         20 |        101 |
| c:\Users\le.chen\Documents\tmp\final\app\models\__init__.py                                        | Python               |          0 |          0 |          1 |          1 |
| c:\Users\le.chen\Documents\tmp\final\app\models\allergy.py                                         | Python               |         11 |          1 |          3 |         15 |
| c:\Users\le.chen\Documents\tmp\final\app\models\ambulance.py                                       | Python               |         14 |          4 |          6 |         24 |
| c:\Users\le.chen\Documents\tmp\final\app\models\basic_check.py                                     | Python               |         16 |          4 |          3 |         23 |
| c:\Users\le.chen\Documents\tmp\final\app\models\case_history.py                                    | Python               |         20 |          1 |          3 |         24 |
| c:\Users\le.chen\Documents\tmp\final\app\models\chat.py                                            | Python               |         11 |          0 |          4 |         15 |
| c:\Users\le.chen\Documents\tmp\final\app\models\check\check.py                                     | Python               |         11 |          0 |          5 |         16 |
| c:\Users\le.chen\Documents\tmp\final\app\models\check\check_histories.py                           | Python               |         14 |          0 |          3 |         17 |
| c:\Users\le.chen\Documents\tmp\final\app\models\check\check_relationship.py                        | Python               |         13 |          0 |          5 |         18 |
| c:\Users\le.chen\Documents\tmp\final\app\models\department.py                                      | Python               |         11 |          1 |          4 |         16 |
| c:\Users\le.chen\Documents\tmp\final\app\models\health_personnel.py                                | Python               |         15 |          1 |          4 |         20 |
| c:\Users\le.chen\Documents\tmp\final\app\models\medical_history.py                                 | Python               |         11 |          0 |          3 |         14 |
| c:\Users\le.chen\Documents\tmp\final\app\models\medical_record.py                                  | Python               |         30 |          1 |          3 |         34 |
| c:\Users\le.chen\Documents\tmp\final\app\models\medicine\medicine.py                               | Python               |         14 |          0 |          3 |         17 |
| c:\Users\le.chen\Documents\tmp\final\app\models\medicine\medicine_histories.py                     | Python               |         14 |          0 |          3 |         17 |
| c:\Users\le.chen\Documents\tmp\final\app\models\medicine\medicine_relationship.py                  | Python               |         13 |          2 |          4 |         19 |
| c:\Users\le.chen\Documents\tmp\final\app\models\message.py                                         | Python               |          3 |          0 |          2 |          5 |
| c:\Users\le.chen\Documents\tmp\final\app\models\operation_history.py                               | Python               |         39 |          3 |          3 |         45 |
| c:\Users\le.chen\Documents\tmp\final\app\models\patient.py                                         | Python               |         17 |          2 |          3 |         22 |
| c:\Users\le.chen\Documents\tmp\final\app\models\users.py                                           | Python               |          8 |          0 |          3 |         11 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\__init__.py                                       | Python               |          0 |          0 |          1 |          1 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\allergy.py                                        | Python               |         13 |          0 |          5 |         18 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\ambulance\ambulance.py                            | Python               |         16 |          0 |          5 |         21 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\ambulance\basic_check.py                          | Python               |         19 |          1 |          5 |         25 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\ambulance\operation_history.py                    | Python               |         50 |          0 |          7 |         57 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\case_history.py                                   | Python               |         31 |          1 |          8 |         40 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\chat.py                                           | Python               |         17 |          0 |          5 |         22 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\check\check.py                                    | Python               |         14 |          0 |          4 |         18 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\check\check_histories.py                          | Python               |         17 |          0 |          4 |         21 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\check\check_relationship.py                       | Python               |         11 |          0 |          4 |         15 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\department.py                                     | Python               |         13 |          0 |          5 |         18 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\health_personnel.py                               | Python               |         17 |          2 |          6 |         25 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\medical_history.py                                | Python               |         14 |          0 |          4 |         18 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\medical_record.py                                 | Python               |         41 |          2 |          8 |         51 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\medicine\medicine.py                              | Python               |         17 |          0 |          6 |         23 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\medicine\medicine_histories.py                    | Python               |         17 |          0 |          5 |         22 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\medicine\medicine_relationship.py                 | Python               |         11 |          0 |          4 |         15 |
| c:\Users\le.chen\Documents\tmp\final\app\schemas\patient.py                                        | Python               |         27 |          6 |          9 |         42 |
| c:\Users\le.chen\Documents\tmp\final\app\services\__init__.py                                      | Python               |          0 |          0 |          1 |          1 |
| c:\Users\le.chen\Documents\tmp\final\app\services\allergy_service.py                               | Python               |          9 |          2 |          4 |         15 |
| c:\Users\le.chen\Documents\tmp\final\app\services\ambulance\ambulance.py                           | Python               |         13 |          1 |          6 |         20 |
| c:\Users\le.chen\Documents\tmp\final\app\services\ambulance\basic_check.py                         | Python               |         13 |          1 |          6 |         20 |
| c:\Users\le.chen\Documents\tmp\final\app\services\ambulance\operation_histories_sevice.py          | Python               |         38 |          6 |         17 |         61 |
| c:\Users\le.chen\Documents\tmp\final\app\services\case_history_service.py                          | Python               |         53 |          4 |         12 |         69 |
| c:\Users\le.chen\Documents\tmp\final\app\services\chat_service.py                                  | Python               |        203 |         31 |         40 |        274 |
| c:\Users\le.chen\Documents\tmp\final\app\services\check\check_histories_service.py                 | Python               |         11 |          0 |          5 |         16 |
| c:\Users\le.chen\Documents\tmp\final\app\services\check\check_service.py                           | Python               |         13 |          1 |          6 |         20 |
| c:\Users\le.chen\Documents\tmp\final\app\services\department_service.py                            | Python               |         11 |          2 |          5 |         18 |
| c:\Users\le.chen\Documents\tmp\final\app\services\gpt_service.py                                   | Python               |          0 |         42 |          8 |         50 |
| c:\Users\le.chen\Documents\tmp\final\app\services\health_personnel.py                              | Python               |         17 |          2 |          8 |         27 |
| c:\Users\le.chen\Documents\tmp\final\app\services\medical_history_service.py                       | Python               |          9 |          2 |          4 |         15 |
| c:\Users\le.chen\Documents\tmp\final\app\services\medical_record_service.py                        | Python               |         53 |          8 |         10 |         71 |
| c:\Users\le.chen\Documents\tmp\final\app\services\medicine\medicine_histories_service.py           | Python               |         11 |          0 |          5 |         16 |
| c:\Users\le.chen\Documents\tmp\final\app\services\medicine\medicine_service.py                     | Python               |         13 |          1 |          6 |         20 |
| c:\Users\le.chen\Documents\tmp\final\app\services\patient_service.py                               | Python               |         11 |          2 |          5 |         18 |
| c:\Users\le.chen\Documents\tmp\final\app\tests\__init__.py                                         | Python               |          0 |          0 |          1 |          1 |
| c:\Users\le.chen\Documents\tmp\final\app\utils\__init__.py                                         | Python               |          0 |          0 |          1 |          1 |
| c:\Users\le.chen\Documents\tmp\final\app\utils\database_backup0325.sql                             | MS SQL               |      1,240 |        129 |         41 |      1,410 |
| c:\Users\le.chen\Documents\tmp\final\app\utils\database_backup0330.sql                             | MS SQL               |      1,332 |        135 |         43 |      1,510 |
| c:\Users\le.chen\Documents\tmp\final\app\utils\prompts.py                                          | Python               |        101 |          3 |         17 |        121 |
| c:\Users\le.chen\Documents\tmp\final\app\utils\requirements.txt                                    | pip requirements     |         86 |          0 |          1 |         87 |
| c:\Users\le.chen\Documents\tmp\final\frontend\.env                                                 | Properties           |          3 |          0 |          2 |          5 |
| c:\Users\le.chen\Documents\tmp\final\frontend\README.md                                            | source.markdown.math |         19 |          0 |          6 |         25 |
| c:\Users\le.chen\Documents\tmp\final\frontend\babel.config.js                                      | JavaScript           |         12 |          0 |          1 |         13 |
| c:\Users\le.chen\Documents\tmp\final\frontend\jsconfig.json                                        | JSON with Comments   |         22 |          0 |          1 |         23 |
| c:\Users\le.chen\Documents\tmp\final\frontend\package-lock.json                                    | JSON                 |     15,276 |          0 |          1 |     15,277 |
| c:\Users\le.chen\Documents\tmp\final\frontend\package.json                                         | JSON                 |         76 |          0 |          1 |         77 |
| c:\Users\le.chen\Documents\tmp\final\frontend\public\index.html                                    | HTML                 |         16 |          1 |          1 |         18 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\App.vue                                          | Vue.js               |         30 |          0 |          4 |         34 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\CoreButtoms\KeywordsGraph.vue         | Vue.js               |        158 |         21 |         25 |        204 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\CoreButtoms\PatientInfo.vue           | Vue.js               |        537 |         19 |         56 |        612 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\CoreButtoms\basicCheckDialogue.vue    | Vue.js               |        273 |          0 |         25 |        298 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\CoreButtoms\caseHistoryTable.vue      | Vue.js               |        121 |          5 |         28 |        154 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\CoreButtoms\medicalRecordTable.vue    | Vue.js               |        152 |          5 |         30 |        187 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\CoreButtoms\operationHistoryTable.vue | Vue.js               |        459 |          2 |         70 |        531 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\CoreButtoms\scoreTableDialogue.vue    | Vue.js               |         70 |          0 |         14 |         84 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\CoreButtoms\timeLineButtom.vue        | Vue.js               |        137 |         11 |         18 |        166 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\Independent.jsx                       | JavaScript JSX       |        384 |         46 |         68 |        498 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\MyReactComponent.jsx                  | JavaScript JSX       |         12 |          2 |          4 |         18 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\NavigationBars.vue                    | Vue.js               |        127 |          0 |         26 |        153 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\ScoreValueForm\CerebralStroke.vue     | Vue.js               |         81 |          2 |         10 |         93 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\ScoreValueForm\GcsScore.vue           | Vue.js               |        235 |         13 |         27 |        275 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\ScoreValueForm\KillipScore.vue        | Vue.js               |        195 |         14 |         18 |        227 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\ScoreValueForm\TiScore.vue            | Vue.js               |        259 |          7 |         24 |        290 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\Stat\ChatWordCloud.vue                | Vue.js               |        133 |          2 |         16 |        151 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\Stat\ConsistencyAnalysis.vue          | Vue.js               |        122 |          0 |         13 |        135 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\Stat\FormSection.vue                  | Vue.js               |        307 |         17 |         51 |        375 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\Stat\SmartAdvice.vue                  | Vue.js               |        129 |          0 |         17 |        146 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\Stat\WordCloudChart.vue               | Vue.js               |         79 |          0 |         11 |         90 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\utils\ExitComponent.vue               | Vue.js               |         41 |          0 |         10 |         51 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\utils\KnowledgeGraph.vue              | Vue.js               |        153 |         14 |         23 |        190 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\utils\mapComponent.vue                | Vue.js               |         41 |          0 |          3 |         44 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\components\utils\withAliyunASR.jsx               | JavaScript JSX       |        123 |         14 |         24 |        161 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\main.js                                          | JavaScript           |         11 |          2 |          4 |         17 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\router\index.js                                  | JavaScript           |         55 |          6 |          5 |         66 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\services\api.js                                  | JavaScript           |          5 |          0 |          3 |          8 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\services\userService.js                          | JavaScript           |         14 |          0 |          4 |         18 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\store\index.js                                   | JavaScript           |         15 |          0 |          2 |         17 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\views\AmbuCore.vue                               | Vue.js               |        104 |          3 |         27 |        134 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\views\AmbuFin.vue                                | Vue.js               |        200 |         10 |         29 |        239 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\views\AmbuMenu.vue                               | Vue.js               |        231 |          0 |         12 |        243 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\views\AmbuPatientInfo.vue                        | Vue.js               |        393 |         27 |         37 |        457 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\views\AmbuStart.vue                              | Vue.js               |        408 |         11 |         35 |        454 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\views\AmbuStat.vue                               | Vue.js               |         79 |          2 |         14 |         95 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\views\Chat.vue                                   | Vue.js               |        177 |          2 |         26 |        205 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\views\HelloWorld.vue                             | Vue.js               |         56 |          0 |          3 |         59 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\views\HomePage.vue                               | Vue.js               |         30 |          0 |          5 |         35 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\views\UserManagement.vue                         | Vue.js               |         71 |          1 |          3 |         75 |
| c:\Users\le.chen\Documents\tmp\final\frontend\src\views\test.vue                                   | Vue.js               |        168 |          8 |         21 |        197 |
| c:\Users\le.chen\Documents\tmp\final\frontend\vue.config.js                                        | JavaScript           |         32 |          0 |          2 |         34 |
| c:\Users\le.chen\Documents\tmp\final\huggingface.ipynb                                             | JSON                 |        195 |          0 |          1 |        196 |
| Total                                                                                              |                      |     28,084 |        895 |      1,665 |     30,644 |
+----------------------------------------------------------------------------------------------------+----------------------+------------+------------+------------+------------+
